FID,Name,LH_MED,LH_1693,LH_1753,LH_1831,REACH_1831,LH_1851,REACH_1851,LH_1911,REACH_1911,Height,YearBuilt,POINT_X,POINT_Y
0,Balsey_Beacon,0,1,0,0,0,0,0,0,0,0,0,633483.01,238034.68
1,BlackRock,0,0,0,1,15,1,14,1,13,88,1830,330784.22,394720.35
2,Blacktail_Beacon,0,1,1,0,0,0,0,0,0,0,0,605171.17,192132.99
3,Caister,0,2,2,0,0,0,0,1,13,0,1873,651956.95,313965.36
4,Casquets,0,0,1,3,13,3,15,1,17,80,1723,371169.33,-20278.25
5,Corton,0,0,0,0,0,0,0,0,0,0,0,654333.55,297454.49
6,Cromer,1,1,1,1,22,1,22,2,23,274,1719,622900.96,341541.12
7,DerbyHaven,0,1,1,1,9,1,11,1,2,46,1650,228767.93,467678.12
8,Dudgeon_LV,0,0,1,1,10,1,10,1,10,33,1736,595675.01,376599.86
9,Dungeness,0,1,1,1,20,1,14,3,17,92,1722,608731.26,116958.86
10,Eddystone,0,0,1,1,13,1,13,2,17,72,1709,238100.09,34055.11
11,Farn,0,0,0,2,14,2,14,1,15,28,1776,421686.15,635804.00
12,Felixstowe_Beacon,0,1,0,0,0,0,0,4,0,0,1877,630350.02,234442.90
13,Flamborough,1,0,0,1,18,1,19,1,21,0,1806,525308.44,470658.95
14,Flatholm,0,0,1,1,17,1,17,1,18,156,1737,322149.82,164714.32
15,Hartlepool_Beacon,0,0,0,0,0,0,0,1,0,0,1855,451851.64,532980.76
16,HarwichGatehouse,0,2,2,0,0,0,0,0,0,0,0,623952.99,231189.44
17,Herne_Beacon,0,1,1,0,0,0,0,0,0,0,0,617595.89,168519.96
18,Hunstanton,1,1,1,1,14,1,13,1,16,85,1665,567516.95,342081.44
19,IlfracombeHarbour,1,1,1,1,15,1,15,2,5,100,1650,252371.56,146835.11
20,Lizard,0,0,0,2,20,2,20,1,21,224,1751,170367.15,11655.39
21,MilfordLightTower,0,0,1,2,19,0,0,0,0,159,1714,180627.58,202871.79
22,Naze_Beacon,0,1,1,0,0,0,0,0,0,0,0,626348.01,223560.08
23,Nore_LV,0,0,1,1,10,1,10,1,11,30,1732,594390.58,179813.86
24,North_Foreland,0,1,1,1,22,1,18,1,20,340,1790,639736.33,169669.53
25,Orfordness,1,2,2,2,22,1,12,2,15,0,1792,644853.34,248907.29
26,Portland,0,0,2,2,19,2,19,2,18,198,1716,367644.44,68424.98
27,Predmouth,0,0,0,0,0,0,0,0,0,0,0,209721.98,49822.58
28,RameHead,1,0,0,0,0,0,0,0,0,0,0,241735.26,48395.81
29,Rye_Beacon1,0,0,0,0,0,0,0,0,0,0,0,595050.97,117847.46
30,Rye_Beacon2,0,0,0,0,0,0,0,0,0,0,0,595230.87,118222.83
31,Salcombe,0,0,0,0,0,0,0,2,20,0,1836,272465.14,36518.17
32,SandowneBay_Beacon,0,1,1,0,0,0,0,0,0,0,0,458430.37,79748.47
33,Shoe_Beacon,0,1,1,0,0,0,0,0,0,0,0,607054.82,195255.68
34,Shotley_Beacon,0,1,0,0,0,0,0,2,0,0,1894,624711.00,233441.32
35,Skerries,0,0,1,1,20,1,15,2,17,100,1714,226703.99,394796.74
36,SouthForeland,0,2,2,2,20,1,25,1,26,41,1793,635786.65,143363.02
37,SpurnPoint,1,2,2,2,15,2,15,3,17,90,1776,540285.63,411258.46
38,StAgnes,0,1,1,1,17,1,16,1,18,138,1680,88060.38,8390.55
39,StBees,0,0,1,1,24,1,23,1,25,333,1718,294053.27,514396.98
40,Tynemouth,0,2,2,2,18,2,16,2,16,123,1808,436165.81,568443.81
41,TynemouthPrioryCastle,1,1,1,1,18,1,17,0,0,148,1802,437213.09,569405.85
42,WestBarbican,0,0,1,1,9,1,6,1,6,0,1822,247667.21,53680.74
43,Whitaker_Beacon,0,1,1,0,0,0,0,0,0,0,0,609161.66,198621.23
44,Whitehaven,0,0,2,2,10,2,11,0,0,47,1727,296712.12,518483.01
45,WinteronChurchLights,0,2,2,0,0,0,0,0,0,0,0,648998.71,319489.00
46,WintertonNess,0,2,2,1,20,1,14,1,16,52,1790,649565.10,319255.12
47,StMarysPeninnisHead,0,0,0,0,0,0,0,1,3,0,1898,91042.66,9456.85
48,RoundIsland,0,0,0,0,0,0,0,1,20,0,1887,90118.93,17787.08
49,SevenStones_LV,0,0,0,0,0,2,10,1,11,0,1841,105247.04,22993.21
50,Longships,0,0,0,1,14,1,14,1,16,36,1795,131900.51,25326.37
51,Wolf,0,0,0,0,0,0,0,1,16,0,1870,126953.32,12048.94
52,MouseholeHarbour,0,0,0,0,0,0,0,1,4,0,1896,146955.11,26356.70
53,Newlyn,0,0,0,0,0,0,0,2,7,0,1887,146693.58,28628.20
54,PenzancePier,0,0,0,1,9,1,9,1,0,22,1817,147703.55,30278.33
55,Portleven,0,0,0,0,0,0,0,1,6,0,1883,162614.38,25484.22
56,PortMellin,0,0,0,0,0,0,0,1,0,0,1895,166540.11,17924.80
57,StAnthony,0,0,0,0,0,1,12,2,14,0,1835,184518.56,31213.42
58,FalmouthEastBreakWater,0,0,0,0,0,0,0,1,3,0,1860,182208.16,32929.41
59,FalmouthWestBreakWater,0,0,0,0,0,0,0,1,3,0,1860,181914.79,33068.57
60,Mevagissey,0,0,0,0,0,0,0,1,10,0,1889,201772.59,44789.34
61,Fowey1,0,0,0,0,0,0,0,1,15,0,1905,211108.97,50538.56
62,Fowey2,0,0,0,0,0,0,0,1,8,0,1875,212290.43,51489.33
63,Polperro,0,0,0,0,0,0,0,1,0,0,1897,221039.88,50844.73
64,Looe,0,0,0,0,0,0,0,1,0,0,1899,225622.24,52892.77
65,PlymouthPenleePoint,0,0,0,0,0,0,0,1,13,0,1902,244163.51,48799.91
66,PlymouthBreakWater,0,0,0,0,0,0,0,1,0,0,0,246390.39,50585.02
67,PlymouthBreakwater_LV,0,0,0,2,5,1,9,1,11,13,1759,246389.02,50584.77
68,PlymouthMountBattonBreakwater,0,0,0,0,0,0,0,1,0,0,1879,248129.05,53287.51
69,PlymouthSuttonPool,0,0,0,0,0,0,0,1,0,0,1895,248270.92,53737.27
70,PlymouthMillBay,0,0,0,0,0,0,0,1,0,0,1880,246740.75,53986.11
71,MountWise,0,0,0,0,0,0,0,1,0,0,0,246080.70,53321.80
72,MuttonCove,0,0,0,0,0,0,0,1,0,0,1891,244786.77,56038.71
73,CremillShoal,0,0,0,0,0,0,0,1,0,0,1902,245540.62,53217.16
74,StartPoint,0,0,0,0,0,1,19,1,20,0,1836,282860.94,37183.45
75,Kingswear,0,0,0,0,0,0,0,1,11,0,1864,288335.56,50898.15
76,DartmouthHarbourRailway,0,0,0,0,0,0,0,1,0,0,0,288046.62,51113.80
77,CoastguardStation,0,0,0,0,0,0,0,1,0,0,1900,287830.33,51388.65
78,BerryHead,0,0,0,0,0,0,0,1,20,0,1906,294572.42,56640.60
79,Brixham,0,0,0,0,0,1,16,2,5,0,1839,292509.03,57331.97
80,Torquay,0,0,0,0,0,0,0,3,5,0,1852,291795.37,63117.78
81,Babbacombe,0,0,0,0,0,0,0,1,0,0,0,292978.75,65580.89
82,Teignmouth,0,0,0,0,0,1,9,1,6,0,1845,293780.36,72436.57
83,Dawlish,0,0,0,0,0,0,0,1,1,0,1881,296335.44,76598.10
84,Exmouth,0,0,0,0,0,0,0,2,8,0,1883,299289.04,80703.27
85,Sidmouth,0,0,0,0,0,0,0,1,8,0,0,312815.72,87344.54
86,Beer,0,0,0,0,0,0,0,1,0,0,1892,323196.80,89188.03
87,LymeRegis,0,0,0,0,0,0,0,2,4,0,1853,334326.67,92202.79
88,Bridport,0,0,0,0,0,0,0,2,0,0,1890,346124.17,90071.65
89,PortlandSouthShipChannel,0,0,0,0,0,0,0,2,2,0,1907,370230.86,74572.75
90,PortlandOuterBreakWater,0,0,0,0,0,1,6,1,0,0,1851,370710.28,76277.92
91,PortlandNorthEasternBreakWater,0,0,0,0,0,0,0,2,14,0,1905,369489.73,77336.17
92,PortlandNorthernArm,0,0,0,0,0,0,0,1,7,0,1905,369372.01,77551.78
93,PortlandCamber,1,0,0,0,0,0,0,1,0,0,1892,369681.71,74278.68
94,PortlandTorpedoPierWestSideHarbour,0,0,0,0,0,0,0,1,0,0,1892,367305.21,75635.33
95,Shambles_LV,0,0,0,0,0,0,0,1,11,0,1859,372787.32,67291.76
96,Weymouth,0,0,0,0,0,1,5,0,0,0,0,368768.08,79031.94
97,WeymouthNorthPier,0,0,0,0,0,0,0,1,0,0,1867,368410.63,79088.90
98,WeymouthBeach,0,0,0,0,0,0,0,2,0,0,1896,367989.52,79552.23
99,AlderneyHigh,0,0,0,0,0,0,0,1,9,0,1859,388165.69,-18935.14
100,AlderneyLow,0,0,0,0,0,0,0,1,0,0,1859,388181.94,-18885.59
101,PlatteFougere,0,0,0,0,0,0,0,1,12,0,1910,364881.36,-42739.16
102,StPeterPortNewHarbour,0,0,0,0,0,0,0,1,10,0,1867,361644.66,-49112.07
103,WhiteRockPier,0,0,0,0,0,1,11,2,4,0,1832,361845.66,-49146.94
104,OldHarbour,0,0,0,0,0,0,0,2,7,0,1832,361325.48,-49250.56
105,Belvedere,0,0,0,0,0,0,0,1,12,0,1888,362018.47,-49286.88
106,Hanois,0,0,0,0,0,1,0,1,16,0,1851,349080.89,-51405.22
107,StCatherineBay,0,0,0,0,0,0,0,1,11,0,1857,399229.97,-75301.21
108,MtOrgueilGorey,0,0,0,0,0,0,0,1,10,0,1898,398620.56,-77882.56
109,GoreyHill,0,0,0,0,0,0,0,1,8,0,1883,398375.73,-78123.70
110,LaGreveDazette,0,0,0,0,0,0,0,1,14,0,1896,393419.78,-80772.28
111,StClements,0,0,0,0,0,0,0,1,14,0,1896,395496.14,-81456.44
112,DemieDePas,0,0,0,0,0,0,0,1,6,0,1904,392525.99,-83329.47
113,StHellierSouthPier,0,0,0,0,0,1,2,0,0,0,1867,391662.25,-80418.53
114,StHellierAlbertPier,0,0,0,0,0,2,2,1,0,0,1839,391668.44,-80325.28
115,JerseyEsplanade,0,0,0,0,0,0,0,1,5,0,1858,391478.77,-79224.62
116,Hermitage,0,0,0,0,0,0,0,1,5,0,1892,390729.49,-80460.73
117,StAubinHarbour,0,0,0,0,0,0,0,1,0,0,0,387843.30,-79235.15
118,CorbiereRock,0,0,0,0,0,0,0,1,17,0,1874,381764.03,-79977.56
119,AnvilPoint,0,0,0,0,0,0,0,1,18,0,1881,402834.80,76976.84
120,SwanagePier,0,0,0,0,0,0,0,2,3,0,1896,403592.07,78907.94
121,Poole,0,0,0,0,0,2,6,3,6,0,1848,403717.23,87085.31
122,Bournmouth,0,0,0,0,0,0,0,1,0,0,1901,408860.21,90531.12
123,Boscombe,0,0,0,0,0,0,0,1,0,0,1905,411091.10,91038.17
124,Needles,0,0,0,3,28,1,27,1,14,469,1786,428848.45,84875.71
125,AlumBay,0,0,0,0,0,0,0,1,0,0,1888,430409.29,85645.16
126,TotlandBay,0,0,0,0,0,0,0,1,0,0,0,432079.02,87241.83
127,Hurst,0,0,0,2,12,2,12,2,14,92,1786,431746.32,89972.39
128,SouthYarmouthOuter,0,0,0,0,0,0,0,1,0,0,1857,435331.85,90056.28
129,SouthYarmouthInner,0,0,0,0,0,0,0,1,0,0,1857,435271.24,89893.20
130,SouthYarmouthPier,0,0,0,0,0,0,0,1,0,0,1876,435269.36,89890.18
131,LymingtonPier,0,0,0,0,0,0,0,1,0,0,0,433235.27,95388.57
132,LymingtonTown,0,0,0,0,0,0,0,1,0,0,0,432727.72,95737.73
133,EgyptPoint,0,0,0,0,0,0,0,1,10,0,1897,448423.07,96675.22
134,SouthamptonCalshotSpit_LV,0,0,0,0,0,1,9,1,0,0,1842,449501.85,101077.79
135,SouthamptonCalshot_LV,0,0,0,0,0,0,0,1,10,0,1842,452260.57,101569.56
136,SouthamptonDolphin,0,0,0,0,0,0,0,1,0,0,1899,447811.54,104681.18
137,SouthamptonSwDolphin,0,0,0,0,0,0,0,1,0,0,1899,447283.57,103763.64
138,SouthamptonNeDolphin,0,0,0,0,0,0,0,1,0,0,1899,448290.77,105233.49
139,SouthamptonStructure,0,0,0,0,0,0,0,1,0,0,1899,446699.26,103341.48
140,SouthamptonFawley,0,0,0,0,0,0,0,1,0,0,1896,447333.12,103495.10
141,SouthamptonBadnamCreek,0,0,0,0,0,0,0,1,0,0,1908,448404.04,108341.34
142,SouthamptonNetley,0,0,0,0,0,0,0,1,0,0,1877,445151.27,108584.94
143,SouthamptonHythe,0,0,0,0,0,0,0,1,0,0,1880,442671.79,108583.78
144,SouthamptonRoyalPier,0,0,0,0,0,2,0,2,0,0,1841,441576.75,110828.19
145,SouthamptonTown,0,0,0,0,0,0,0,1,0,0,1880,441810.46,110574.63
146,SouthamptonEmpressDock,0,0,0,0,0,0,0,2,0,0,1891,442708.73,110140.97
147,SouthamptonOpenDock,0,0,0,0,0,0,0,2,0,0,0,442104.88,110335.31
148,MarchwoodPier,0,0,0,0,0,0,0,1,0,0,0,440851.32,110769.86
149,LeeOnSolent,0,0,0,0,0,0,0,1,0,0,1890,456030.94,100515.77
150,Cowes,0,0,0,0,0,0,0,1,0,0,1901,449643.55,96674.12
151,Ryde,0,0,0,0,0,0,0,1,6,0,1852,459260.15,93690.91
152,StokesBay,0,0,0,0,0,0,0,1,0,0,1865,459930.14,98032.54
153,SpitSand,0,0,0,0,0,0,0,1,5,0,1866,463527.59,97223.31
154,SouthSea,0,0,0,0,0,1,9,2,5,0,1822,464268.91,98098.60
155,HorseSandNorthDolphin,0,0,0,0,0,0,0,1,2,0,1908,465438.19,94962.91
156,HorseSandSouthDolphin,0,0,0,0,0,0,0,1,2,0,1908,448128.43,102780.49
157,NomansLand,0,0,0,0,0,0,0,1,8,0,1866,463824.74,93786.86
158,SeaViewPier,0,0,0,0,0,0,0,1,0,0,1901,462821.11,91805.07
159,StHelens,0,0,0,0,0,0,0,1,2,0,1866,463055.30,88717.14
160,BradingEmbankment,0,0,0,0,0,0,0,2,0,0,1894,464110.64,89267.19
161,ClarenceEsplanadePier,0,0,0,0,0,0,0,1,0,0,1865,463290.69,98776.73
162,PortsmouthVictoriaPier,0,0,0,0,0,0,0,2,0,0,1865,462774.32,99378.21
163,OuterTownCamber,0,0,0,0,0,0,0,1,0,0,0,459063.36,105231.35
