Hall,Floor,Room,Bed Name,Room Type
150 Elm Street,1,101,A,Single
150 Elm Street,1,102,A,Single
150 Elm Street,1,103,A,Single
150 Elm Street,2,202,A,Single
150 Elm Street,2,203,A,Single
150 Elm Street,2,204,A,Single
150 Elm Street,3,301,A,Single
150 Elm Street,3,302,A,Single
150 Elm Street,3,303,A,Single
150 Elm Street,3,304,A,Single
54 Green Street,2,202,A,Single
54 Green Street,2,203,A,Single
54 Green Street,2,204,A,Single
54 Green Street,2,205,A,Single
54 Green Street,2,206,A,Single
54 Green Street,3,301,A,Single
54 Green Street,3,303,A,Single
54 Green Street,3,304,A,Single
54 Green Street,3,305,A,Single
54 Green Street,3,306,A,Single
54 Green Street,3,307,A,Single
Albright House,1,101,A,Double
Albright House,1,101,B,Double
Albright House,1,105,A,Double
Albright House,1,105,B,Double
Albright House,2,205,A,Single
Albright House,2,206,A,Single
Albright House,2,207,A,Single
Albright House,2,208,A,Single
Albright House,2,209,A,Double
Albright House,2,209,B,Double
Albright House,2,211,A,Double
Albright House,2,211,B,Double
Albright House,2,212,A,Double
Albright House,2,212,B,Double
Albright House,2,213,A,Single
Albright House,2,214,A,Triple
Albright House,2,214,B,Triple
Albright House,2,214,C,Triple
Albright House,2,215,A,Double
Albright House,2,215,B,Double
Albright House,2,216,A,Double
Albright House,2,216,B,Double
Albright House,3,302,A,Single
Albright House,3,303,A,Single
Albright House,3,304,A,Single
Albright House,3,305,A,Single
Albright House,3,306,A,Single
Albright House,3,307,A,Single
Albright House,3,308,A,Single
Albright House,3,309,A,Double
Albright House,3,309,B,Double
Albright House,3,310,A,Single
Albright House,3,311,A,Double
Albright House,3,311,B,Double
Albright House,3,312,A,Double
Albright House,3,312,B,Double
Albright House,3,314,A,Triple
Albright House,3,314,B,Triple
Albright House,3,314,C,Triple
Albright House,3,315,A,Double
Albright House,3,315,B,Double
Albright House,3,316,A,Double
Albright House,3,316,B,Double
Albright House,4,402,A,Double
Albright House,4,402,B,Double
Albright House,4,403,A,Double
Albright House,4,403,B,Double
Albright House,4,404,A,Double
Albright House,4,404,B,Double
Albright House,4,406,A,Double
Albright House,4,406,B,Double
Albright House,4,407,A,Single
Albright House,4,408,A,Double
Albright House,4,408,B,Double
Albright House,4,409,A,Single
Albright House,4,410,A,Single
Albright House,4,411,A,Double
Albright House,4,411,B,Double
Albright House,4,412,A,Double
Albright House,4,412,B,Double
Albright House,4,413,A,Double
Albright House,4,413,B,Double
Baldwin House,0,1,A,Quadruple
Baldwin House,0,1,B,Quadruple
Baldwin House,0,1,C,Quadruple
Baldwin House,0,1,D,Quadruple
Baldwin House,0,2,A,Double
Baldwin House,0,2,B,Double
Baldwin House,0,3,A,Triple
Baldwin House,0,3,B,Triple
Baldwin House,0,3,C,Triple
Baldwin House,1,102,A,Triple
Baldwin House,1,102,B,Triple
Baldwin House,1,102,C,Triple
Baldwin House,1,103,A,Double
Baldwin House,1,103,B,Double
Baldwin House,2,201,A,Triple
Baldwin House,2,201,B,Triple
Baldwin House,2,201,C,Triple
Baldwin House,2,202,A,Triple
Baldwin House,2,202,B,Triple
Baldwin House,2,202,C,Triple
Baldwin House,2,203,A,Single
Baldwin House,2,204,A,Double
Baldwin House,2,204,B,Double
Baldwin House,2,205,A,Single
Baldwin House,2,207,A,Double
Baldwin House,2,207,B,Double
Baldwin House,2,208,A,Single
Baldwin House,2,209,A,Single
Baldwin House,2,210,A,Single
Baldwin House,2,211,A,Single
Baldwin House,2,213,A,Double
Baldwin House,2,213,B,Double
Baldwin House,3,301,A,Triple
Baldwin House,3,301,B,Triple
Baldwin House,3,301,C,Triple
Baldwin House,3,302,A,Triple
Baldwin House,3,302,B,Triple
Baldwin House,3,302,C,Triple
Baldwin House,3,304,A,Double
Baldwin House,3,304,B,Double
Baldwin House,3,305,A,Single
Baldwin House,3,307,A,Double
Baldwin House,3,307,B,Double
Baldwin House,3,309,A,Single
Baldwin House,3,310,A,Single
Baldwin House,3,312,A,Single
Baldwin House,3,313,A,Double
Baldwin House,3,313,B,Double
Baldwin House,4,401,A,Single
Baldwin House,4,404,A,Single
Baldwin House,4,405,A,Single
Baldwin House,4,407,A,Single
Baldwin House,4,408,A,Single
Baldwin House,4,409,A,Single
Baldwin House,4,410,A,Single
Baldwin House,4,412,A,Single
Baldwin House,4,413,A,Single
Baldwin House,4,414,A,Single
Baldwin House,4,415,A,Single
Baldwin House,4,416,A,Single
Baldwin House,4,417,A,Single
Baldwin House,4,418,A,Single
Capen House,1,103,A,Double
Capen House,1,103,B,Double
Capen House,1,104,A,Double
Capen House,1,104,B,Double
Capen House,1,105,A,Double
Capen House,1,105,B,Double
Capen House,1,107,A,Double
Capen House,1,107,B,Double
Capen House,1,110,A,Double
Capen House,1,110,B,Double
Capen House,1,111,A,Double
Capen House,1,111,B,Double
Capen House,1,112,A,Single
Capen House,2,201,A,Single
